product_name,image,cat_l0,cat_l1,cat_l2,cat_l3,barcode,brand,manufacturer,capacity,effect,price,source,href
Tương ớt Chinsu 2kg,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,ChinSu,,,,74900,,https://cooponline.vn/products/tuong-ot-chinsu-2kg/,90900
Tương ớt cay DEASANG hn 200g – CX – F,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,,,,,42000,,https://cooponline.vn/products/tuong-ot-cay-deasang-hn-200g-f/,
Tương cà Heinz nắp ngược 570g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Heinz,,,,80000,,https://cooponline.vn/products/tuong-ca-heinz-nap-nguoc-570g/,
Tương ớt Chinsu Sriracha 250g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,ChinSu,,,,20200,,https://cooponline.vn/products/tuong-ot-chinsu-sriracha-250g/,
Tương ớt tươi Hàn Quốc HotJang CJ 240g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Bibigo,,,,22000,,https://cooponline.vn/products/tuong-ot-tuoi-han-quoc-hotjang-cj-240g/,
Tương ớt tươi Cầu Tre 210g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cầu Tre,,,,15200,,https://cooponline.vn/products/tuong-ot-tuoi-cau-tre-210g/,
Tương chấm ăn liền Ssamjang 250g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,CJ Food,,,,53500,,https://cooponline.vn/products/tuong-cham-an-lien-ssamjang-250g/,
Tương ớt Nam Dương đặc biệt cay 255g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,8500,,https://cooponline.vn/products/tuong-ot-nam-duong-dac-biet-cay-255g/,11700
Tương đen Nam Dương 255g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,8500,,https://cooponline.vn/products/tuong-den-nam-duong-255g/,11800
Tương ớt Tokpokki Hàn Quốc Green Foods 230g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Green Foods,,,,34600,,https://cooponline.vn/products/tuong-ot-tokpokki-han-quoc-green-foods-230g/,
Tương ớt vị Indonesian Heinz 325g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Heinz,,,,37000,,https://cooponline.vn/products/tuong-ot-vi-indonesian-heinz-325g/,
Tương ớt vị Mehico Heinz 325g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Heinz,,,,37000,,https://cooponline.vn/products/tuong-ot-vi-mehico-heinz-325g/,
Tương ớt Sriracha nhiệt đới Dellycook 530g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Dellycook,,,,76500,,https://cooponline.vn/products/tuong-ot-sriracha-nhiet-doi-dellycook-530g/,
Tương ớt Sriracha Dellycook 530g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Dellycook,,,,66700,,https://cooponline.vn/products/tuong-ot-sriracha-dellycook-530g/,
Tương ớt Nam Dương cay vừa 2.1kg,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,52500,,https://cooponline.vn/products/tuong-ot-nam-duong-cay-vua-2-1kg/,55300
Tương cà Nam Dương chai 255g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,8500,,https://cooponline.vn/products/tuong-ca-nam-duong-chai-255g/,11700
Tương ớt xí muội Cholimex 2.1kg,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,60900,,https://cooponline.vn/products/tuong-ot-xi-muoi-cholimex-2-1kg/,
Tương ớt Cholimex chai 5kg,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,129700,,https://cooponline.vn/products/tuong-ot-cholimex-chai-5kg/,
Tương ớt lốc 50 gói x 10g – NC,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,33800,,https://cooponline.vn/products/tuong-ot-loc-50-goi-x-10g-nc/,
Tương chấm thịt nướng CJ 450g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,CJ Food,,,,76600,,https://cooponline.vn/products/tuong-cham-thit-nuong-cj-450g/,
Tương cà Cholimex 830g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,29000,,https://cooponline.vn/products/tuong-ca-cholimex-830g/,29700
Tương ớt xí muội Cholimex chai 830g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,29700,,https://cooponline.vn/products/tuong-ot-xi-muoi-cholimex-chai-830g/,
Tương ớt xí muội Cholimex chai thủy tinh 270g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,14300,,https://cooponline.vn/products/tuong-ot-xi-muoi-cholimex-chai-thuy-tinh-270g/,
